Year,Quarter,Real terms price indices: Solid fuels [Note 3],Real terms price indices: Gas [Note 3],Real terms price indices: Electricity [Note 3],Real terms price indices: Liquid fuels [Note 3],"Real terms price indices: Domestic fuels [Note 1, 3]","Real terms price indices: Motor fuel & oil [Note 2, 3]",Real terms price indices: All Items CPI 2025=100 [Note 3]
1999,Oct to Dec,52.39996858503076,39.53378801610263,42.98728842218629,53.383346011559496,40.865670319237026,102.6890613133454,99.57779564043192
2000,Jan to Mar,52.35698459585382,39.3137033188239,42.74797807946433,58.660841159466614,40.74625127192882,104.72791082206481,98.47710954905075
2000,Apr to June,51.31580192897594,38.36726409423805,42.22395578291639,58.11579015408373,40.05063504368108,111.03927990688635,99.44794489659138
2000,July to Sept,51.01174454592381,38.325978075504864,41.491892613661534,69.33434395681503,40.22379455305075,112.6097071650779,99.34093153994722
2000,Oct to Dec,53.56538138253269,38.4092162839161,41.44611779721146,80.14665587078127,40.71946468243243,110.79742413114926,99.91380768856733
2001,Jan to Mar,53.36333445466172,38.21206661386348,41.0990694098029,65.03686329588824,39.84297702817173,104.23922388751288,98.5357756980978
2001,Apr to June,52.371503768746194,39.33104840491237,40.71127255214898,63.17950647442937,40.103597267530574,104.461563475497,98.94676770084467
2001,July to Sept,52.54760032300072,39.4033080714826,40.754731176372005,63.8430316371833,40.15767922282968,103.5737238767667,98.8187776416072
2001,Oct to Dec,56.00568344211369,39.43451302664916,40.88320214385124,53.824756894083706,39.871359047170216,97.3279259745611,99.03104275576693
2002,Jan to Mar,55.65332512802921,40.72337342768914,40.44973496267683,51.532235127533745,40.07811926286838,94.65628426455007,97.98105878432888
2002,Apr to June,54.877998404143,40.75007647006538,40.32999982595617,54.317503069599546,40.07440338965834,99.04762358906697,98.2530030496255
2002,July to Sept,54.43375495765892,40.71869831625162,40.17936369771476,54.23650215561455,40.02869256683191,97.64362446516111,98.01740999426507
2002,Oct to Dec,55.96555772636963,40.44239977111762,39.906724831711095,57.13690245386098,39.86034121920514,97.27449668821933,97.87430477532335
2003,Jan to Mar,55.76422610525407,40.4164868750807,39.85650433807527,69.71678888542434,40.02562776122555,100.43314079856798,97.52220978607444
2003,Apr to June,54.49349874981366,40.36019043618537,39.54322329304284,52.88959370142485,39.51638825588829,98.54268393719089,97.1731294133976
2003,July to Sept,54.15499985512082,40.57997631411475,39.664858681196776,53.747537692412564,39.67577800362135,97.06773905532519,96.69742282540312
2003,Oct to Dec,55.719065216101285,40.68170509078137,39.71813725553001,59.12992845765886,39.94951845682734,97.32353917586282,96.89105271200657
2004,Jan to Mar,55.92049111111954,41.39369507723902,40.253068651157676,58.7391900369577,40.4486170607262,98.06939516491092,96.51017871365802
2004,Apr to June,54.69883006495668,41.77827585359981,40.608018032317425,64.66462450596924,40.90163136265629,101.02916866316534,95.74271375170346
2004,July to Sept,55.79354729634945,42.08972300753289,41.1140188477291,69.6007483917912,41.4625201597403,101.79161280639046,95.79087971582754
2004,Oct to Dec,59.082741668817704,43.479880042181364,41.71849010573883,76.98120168395945,42.67543078932833,103.13161830721722,94.93184046533553
2005,Jan to Mar,60.21032036734171,45.97585070880296,43.490891829814494,75.84719015425615,44.53142890906562,100.23531361287807,95.18831608218939
2005,Apr to June,59.142120438915455,45.77560090357017,43.40192683080761,84.01497482911354,44.577413745807526,104.69453402750624,94.69896006749792
2005,July to Sept,59.37210009226733,46.14318460900096,43.67575395887997,98.26216591408867,45.17257221657838,111.73764726444485,95.02189687500422
2005,Oct to Dec,62.791850141300365,49.645716450134245,45.602586298490365,98.70015724402668,47.68936013991833,110.66500681467643,95.1701791113399
2006,Jan to Mar,62.722402731843154,51.66956112607408,47.04123626859433,99.90547719432226,49.29603213687208,108.29201275814061,94.28379874835393
2006,Apr to June,62.200158646992875,58.14662659846028,51.24330719988013,103.05433671023248,54.14969267860972,113.34391778612081,94.31353935293177
2006,July to Sept,61.51248999915653,61.47955148933701,53.28602332351766,102.2002321980587,56.51595982771826,112.81162399495028,94.01789802918536
2006,Oct to Dec,65.80001446322647,67.42363188942292,56.156520420716795,88.29511645177827,60.05317719018696,102.940153391162,94.60052213126944
2007,Jan to Mar,66.19408770584658,69.11095230281293,57.30415045554902,85.65065183355235,61.31914959806518,103.41632097560336,94.67195228825332
2007,Apr to June,65.0090505180718,63.85670918748675,55.38517019776831,91.0115462930508,58.22865654769802,109.91965555483519,94.19827178369121
2007,July to Sept,65.02223235126442,60.04747442444389,53.82959863909234,95.6717042292184,55.96100168535183,111.02749115391057,94.25421505772668
2007,Oct to Dec,68.69603002491293,59.302470654970705,53.66182710081133,111.82655517661135,55.958767995003576,116.98925192635288,95.2887075719877
2008,Jan to Mar,70.4993056130341,63.95573968764238,57.1379272838964,125.95394221326355,60.00355801218317,121.3311989228152,94.6710456383873
2008,Apr to June,71.55415123718257,66.87577979945736,59.48753234235964,160.8544784005715,63.34526883996629,129.930603861659,95.38496338448616
2008,July to Sept,75.32906567044365,75.16076821943741,62.33753419652187,156.7818285303553,68.10230149522269,130.34438932838324,95.1688075658016
2008,Oct to Dec,87.27265972558112,85.00898105733553,67.14719037186993,112.0557596311742,73.75837797213416,109.24448630194448,94.30973238362567
2009,Jan to Mar,89.04151471582111,83.76530058091895,66.88595669268076,92.13947385359783,72.51408340878712,100.43350361469446,93.83565745138101
2009,Apr to June,87.72742485596514,80.42781583598362,62.23067548313486,92.3257655128245,68.77329390866052,109.06330781913631,94.81173755615916
2009,July to Sept,86.08712614301808,79.70808547058803,61.59256884479959,93.7861266694691,68.24217877816142,114.6540185957021,94.98376422515764
2009,Oct to Dec,89.39973227037753,80.25845289094065,61.858847677944475,105.18375086089682,68.97453417557848,119.18431951525079,96.53173636870721
2010,Jan to Mar,88.34971750647772,77.73925804203256,60.99539073900024,119.64076741793288,67.83978892508637,123.14017698329268,95.83624503838809
2010,Apr to June,86.61115010590291,74.69273898603387,60.799619383158124,121.97999392722956,66.42062713490009,130.75090552693308,96.96804866094271
2010,July to Sept,84.74821079656294,74.53256374541995,60.669237316626145,116.49185878904721,66.10670803852528,126.81587974948434,97.08516695718824
2010,Oct to Dec,87.82095468030542,75.21838118419032,60.494853596048955,133.65379374504164,66.77142719850276,129.88393538820404,97.5284215925244
2011,Jan to Mar,88.02744250217147,77.21960612810705,61.11388799239985,150.4807118125854,68.37404035871747,138.9324511172689,97.20698783296349
